"",""
"Action","Action"
"Add Prospecto","Add Prospecto"
"Add prospecto","Add prospecto"
"Add","Add"
"An error occurred while updating the prospectos.","An error occurred while updating the prospectos."
"Apellidos","Apellidos"
"Are you sure?","Are you sure?"
"Autoriza Habeas Data","Autoriza Habeas Data"
"CSV","CSV"
"Cargo","Cargo"
"Celular","Celular"
"Change status","Change status"
"Ciudad","Ciudad"
"Clave","Clave"
"Como se enteró","Como se enteró"
"Compañía","Compañía"
"Correo electrónico","Correo electrónico"
"Could not find prospecto to delete.","Could not find prospecto to delete."
"Created at","Created at"
"Código país","Código país"
"Código postal","Código postal"
"Código región","Código región"
"Data cannot be null","Data cannot be null"
"Delete Prospecto","Delete Prospecto"
"Delete","Delete"
"Dirección","Dirección"
"Disabled","Disabled"
"Edit Prospecto '%s'","Edit Prospecto '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving prospecto","Error saving prospecto"
"Error while removing prospecto. Details in error message.","Error while removing prospecto. Details in error message."
"Error while saving prospecto. Details in error message.","Error while saving prospecto. Details in error message."
"Especialidad","Especialidad"
"Excel","Excel"
"Fax","Fax"
"Fecha de nacimiento","Fecha de nacimiento"
"Home","Home"
"Id","Id"
"Info","Info"
"List","List"
"Localidad","Localidad"
"No","No"
"Nombres","Nombres"
"None","None"
"Número de Documento","Número de Documento"
"Please select prospectos to delete.","Please select prospectos to delete."
"Please select prospectos.","Please select prospectos."
"Product does not exist.","Product does not exist."
"Prospecto API","Prospecto API"
"Prospecto was saved","Prospecto was saved"
"Prospecto was successfully deleted.","Prospecto was successfully deleted."
"Prospecto was successfully saved","Prospecto was successfully saved"
"Prospecto","Prospecto"
"Prospectos","Prospectos"
"Provided data is invalid.","Provided data is invalid."
"Proviene de Web DentalDoktor","Proviene de Web DentalDoktor"
"Remove prospecto","Remove prospecto"
"Remove","Remove"
"Requested prospecto does not exist.","Requested prospecto does not exist."
"Reset","Reset"
"Respuesta","Respuesta"
"Retrieve list of prospectos","Retrieve list of prospectos"
"Retrieve prospecto info","Retrieve prospecto info"
"Save And Continue Edit","Save And Continue Edit"
"Save Prospecto","Save Prospecto"
"Sitio Web","Sitio Web"
"Status","Status"
"Store views","Store views"
"Teléfono","Teléfono"
"The prospectos has been deleted.","The prospectos has been deleted."
"There was a problem saving the prospecto.","There was a problem saving the prospecto."
"There was an error deleting prospecto.","There was an error deleting prospecto."
"There was an error deleting prospectos.","There was an error deleting prospectos."
"There was an error updating prospectos.","There was an error updating prospectos."
"This prospecto no longer exists.","This prospecto no longer exists."
"Tipo de Correo","Tipo de Correo"
"Tipo de Documento","Tipo de Documento"
"Total of %d prospectos were successfully deleted.","Total of %d prospectos were successfully deleted."
"Total of %d prospectos were successfully updated.","Total of %d prospectos were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find prospecto to save.","Unable to find prospecto to save."
"Update prospecto","Update prospecto"
"Update","Update"
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"WebToLead","WebToLead"
"XML","XML"
"Yes","Yes"
"Área","Área"